processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
alo terima kasih atas pertanyaannya di alodokter menstruasi merupakan keluarnya darah dari alat kelamin wanita akibat luruhnya penebalan dinding rahim menstruasi terjadi secara siklus dengan rerata durasi siklus menstruasi selama hari kisaran normal siklus menstruasi berlangsung dari hari dengan durasi menstruasi selama hari beberapa gejala sindrom yang dapat muncul sebelum menstruasi terjadi dapat disebut sebagai pre menstruation syndrome pms pms umumnya muncul minggu sebelum menstruasi dapat ditandai dengan beberapa gejala antara lain nyeri kepala nyeri perut perubahan suasana hati yang cepat mudah lelah danmengantuk tumbuhnya jerawat perut kembung serta nyeri otot mudah merasa tertekan secara psikologis sebagian besar kondisi ini akan berkurang setelah menstruasi terjadi keputihan yang sangat banyak disertai dengan nyeri daerah panggul juga perlu ditelaah lebih lanjut apakah merupakan suatu tanda gejala yang muncul akibat kondisi medis yang dialami antara lain bacterial vaginosis trichomoniasis kandidosis vulvovaginalis adanya infeksi pada alat kelamin lainnya atau penyakit radang panggul perubahan pada keputihan menjadi berbau amis memiliki konsistensi seperti ampas susu berwarna kehijauan disertai dengan nanah darah disarankan untuk berkonsultasi pada dokter spesialis kandungan terkait pemeriksaan dan penatalaksanaan lebih lanjut semoga informasi ini dapat membantu anda salam,1,0,1,1,1,0
halo terima kasih atas pertanyaan yang disampaikan ke alodokter kami dapat memahami kekhwatiran yang anda rasakan apakah keluhan gatal pada selangkangan anda disertai munculnya ruam pada kulit misalnya kemerahan atau kulit menjadi terkelupas keluhan kulit terrasa gatal pada daerah di sekitar lipat paha dapat disebabkan oleh sejumlah kemungkinan yang tersering antara lain skabies disebabkan oleh infeksi parasit sarcoptes scabiei keluhan ruam kulit yang terutama muncul pada daerah sela jari tangan bokong selangkangan sekitar alat kelamin lipat ketiak gatal paling sering dirasakan pada malam hari mengenai sekelompok orang yang tinggal bersama contoh penghuni asrama atau sekeluarga yang tinggal bersama tinea cruris disebabkan oleh infeksi jamur golongan dermatofita pada daerah sekitar kelamin selangkangan bokong dan lipatan paha keluhan ruam kulit kemerahan dan kulit mengelupas berbatas tegas bagian tepi lebih aktif merah dibandingkan bagian tengah ruam disertai rasa gatal dermatitis kontak iritan radang kulit akibat kontak dengan bahan iritatif deterjen sabun bahan kimia dsb yang menempel pada kulit tidak berhubungan dengan proses pembentukan kekebalan tubuh gejala dapat langsung muncul pada pajanan pertama dengan bahan iritatif dermatitis kontak alergi radang kulit akibat kontak dengan bahan alergenik contoh lateks protein hewan laut serbuk sari tanaman yang menempel pada kulit berkaitan dengan proses pembentukan kekebalan tubuh terhadap bahan alergenik gejala biasanya timbul setelah paparan berulang dengan bahan alergenik infeksi menular seksual contoh herpes simpleks keluhan sensasi terbakar munculnya lenting yang mengelompok dan dapat pecah hingga menimbulkan luka dangkal faktor risiko timbulnya ruam kulit yang gatal pada daerah selangkangan meliputi keadaan lingkungan yang hangat dan lembab higienitas yang kurang baik misalnya jarang mengganti pakaian dalam penggunaan pakaian yang ketat serta hubungan seksual yang berisiko anda disarankan untuk memeriksakan diri ke dokter atau dokter spesialis kulit dan kelamin agar dapat dilakukan evaluasi dan penanganan yang diperlukan masalah kulit membutuhkan pemeriksaan secara langsung oleh dokter bila terdapat indikasi dokter mungkin akan merencanakan pemeriksaan penunjang seperti kerokan kulit dengan bantuan pemeriksaan mikroskop nantinya dokter mungkin akan meresepkan krim salep untuk dioleskan dan obat minum untuk mengurangi keluhan gatal sebagai anjuran anda disarankan untuk mandi dan cuci bersih pakaian secara teratur ganti pakaian dalam secara teratur terutama bila terasa sudah lembab hindari penggunaan pakaian yang terlalu ketat tidak menggunakan pakaian pakaian dalam dan handuk secara bersama hindari hubungan seksual yang berisiko untuk memperkaya wawasan anda dapat membaca artikel mengenai skabies demikian penjelasan dari kami mudah mudahan senantiasa sehat semoga bermanfaat,1,1,1,1,1,1
alo sugiyatmoko terima kasih sudah bertanya kepada alodokter sengatan lebah bisa menimbulkan pembengkakan pada kulit dan rasa tidak nyaman selama beberapa hari bahkan bagi beberapa orang yang memiliki alergi terhadap racun lebah gejala yang timbul bisa saja lebih serius dan perlu penanganan lebih lanjut bagi kamu yang tidak memiliki alergi terhadap racun lebah tidak perlu panik kamu bisa lakukan langkah langkahpertolongan pertamaberikut ketika tersengat lebah diantaranya segera cabut sengatan lebah setelah berhasil mengeluarkan sengat yang tertinggal di kulit langkah selanjutnya yang perlu dilakukan adalah mencuci bagian kulit yang tersengat dengan menggunakan air mengalir dansabun mengompresbagian kulit yang tersengat dengan es batu dapat meredakan bengkak dan rasa tidak nyaman balut es batu dengan kain tipis lalu kompreskan ke bagian kulit yang bengkak selama menit maka rasa sakit dan bengkak yang muncul pun akan berkurang untukmengobatinya beberapa bahan alami berikut bisa digunakan oleskan madu di area yang terkena sengatan dan diamkan selama menit baking soda dapat memberi efek dingin pada kulit sehingga mampu meredakan rasa panas dan bengkak campurkan sekitar sendok makan baking soda dengan sedikit air lalu oleskan di permukaan kulit yang bengkak dan biarkan hingga mengering jika rasa sakit dan nyeri akibat bengkak tak kunjung reda dan cenderung mengganggu aktivitas obat pereda nyeri yang biasa dijual bebas seperti paracetamol bisa menjadi solusi tetapi saran saya bila keluhan tidak membaik atau semakin bengakak dan nyeri tidak berkurang atau timbul tanda infeksi seperti nanah dan terdapatnya alergi atau tanda tanda syok anafilatik segerala kunjungi dokter untuk mendapatkan penangan demikian info yang dapat saya berikan semoga dapat membantu anda terima kasih,1,0,1,0,1,0
halo keluhan yang anda alami disebut sebagai hiperhidrosis yaitu kondisi di mana tubuh berkeringat berlebihan hiperhidrosis dapat dibagi menjadi yaitu hiperhidrosis primer yaitu keringat berlebih yang terjadi pada area tubuh tertentu ketiak telapak tangan atau kaki kepala wajah penyebabnya tidak diketahui namun diduga berkaitan dengan hiperaktivitas saraf yang mengatur kelenjar keringat hiperhidrosis sekunder keringat berlebihan terjadi di seluruh tubuh kondisi ini disebabkan oleh adanya penyakit lain yang mendasari seperti gangguan tiroid tuberkulosis tbc diabetes gagal jantung keganasan kanker dan sebagainya penanganan bagi hiperhidrosis sekunder akan ditujukan untuk mengatasi penyakit yang mendasarinya sedangkan hiperhidrosis primer umumnya dapat ditangani dengan pemberian antiperspirant obat antikolinergik prosedur iontophoresis injeksi botox dan sebagainya sebaiknya anda berkonsultasi dengan dokter agar penyebab keluhan yang anda alami dapat ditelusuri melalui pemeriksaan fisik dan tes penunjang tertentu tes darah tes urine tes thermoregulatory dan sebagainya dokter akan menganalisis penyebabnya sehingga penanganan yang tepat dapat diberikan berikut ini anjuran yang dapat anda lakukan kenakan pakaian yang longgar tidak terlalu tebal dan dapat menyerap keringat dengan baik hindari memakai baju berwarna gelap karena cenderung menyerap panas mandi secara teratur untuk menjaga tubuh tetap sejuk gunakan antiperspirant berbentuk roll on atau spray perbanyak konsumsi air putih gelas sehari untuk mencegah dehidrasi hindari konsumsi makanan yang panas pedas atau berempah yang dapat memicu keringat baca laman artikel berikut ini mengenali keringat berlebih dan cara mengatasinya penyakit serius ternyata bisa jadi penyebab keringat berlebih demikian semoga bermanfaat dr muliani sukiman,1,0,1,1,1,0
halo kelenjar bartholin adalah kelenjar yang terletak di kedua sisi vulva tepatnya di labia minora dan berfungsi menghasilkan pelumas saat hubungan seksual kelenjar ini termasuk yang sering mengalami masalah pada wanita seringkali ada hambatan aliran keluar dan membentuk kantung berisi cairan yang disebut kista bartholin jika terinfeksi disebut bartholinitis dan jika ada mengumpulan nanah disebut abses bartholin selain pemberian antibiotika tindakan bedah umumnya diperlukan apda kasus ini karena antibiotika saja umumnya tidak dapat menyembuhkan gangguan ini penanganan awal adalah dengan insisi drainase kista surgical drainage alternatifnya adalah dengan word catheter jika dilakukan dengan baik dan benar sebenarnya prognosis ramalan penyakitnya baik akan tetapi perlu menjadi perhatian bahwa meski dilakukan dengan baik pada pasien akan mengalami rekurensi sehingga rekurensi kekambuhan merupakan komplikasi yang memang paling sering terjadi dan inilah yang saya kira ibu alami pada kondisi seperti ini maka perlu dilakukan tindakan berupa marsupialisasi biasanya dicadangkan pada kasus yang rekuren kambuhan seperti insisi drainase biasa tetapi lebih luas wide eksisi kemudian rongga akan dijahit dan dilekatkan dengan dingding kanan kirinya untuk menutup rongga potensial dan mencegah kekambuhan eksisi jadi kelenjar diangkat dan jaringan sekitarnya juga lebih radikal dari marsupialisasi kedua prosedur diatas harus dilakukan oleh dokter spesialis dan biasanya dilakukan di ruang operasi pada kondisi seperti ini sebaiknya ibu konsultasikan dengan dokter ibu dokter obsgyn untuk penanganan yang tepat marsupialisasi umumnya tidak se radikal eksisi dan patut dicoba jika memang memungkinkan selain itu pada marsupialisasi kelenjar tidak dibuang sedangkan pada eksisi kelenjar akan dibuang jika kelenjar dibuang tentu saja akan sembuh karena kelenjarnya tidak ada lagi efek potensialnya adalah kurangnya pelumas saat hubungan seksual bisa diatasi dengan mudah menggunakan pelumas buatan yang dapat dibeli dengan mudah di berbagai tempat gunakan yang berbahan dasat air jika berusia ugt tahun sebaiknya disertai biopsi dan pemeriksaan pa untuk menyingkirkan kemungkinan adanya kanker keganasan pada kelenjar ini paska tindakan selain obat yang diberikan dan perawatan luka perlu dilakukan sitz bath merendam selangkanagan dalam baskom berisi air sabun hangat kali sehari menit untuk beberapa hari pertama paska tindakan kista bartholin bacaan lainuntuk bartholin cyst demikian yang dapat saya sampaikan semoga bermanfaat dr rico novyanto,1,0,1,1,1,0
wa alaikumsalam hallo sdri liza iza terima kasih telah berkonsultasi dengan kami di alodokter com menstruasi yang tidak lancar atau tidak teratur memang bisa menjadi masalah bagi seorang wanita padahal tidak selalu menstruasi yang tidak teratur merupakan tanda dari suatu bahaya banyak beberapa faktor yang mempengaruhi adanya gangguan pada siklus menstruasi yaitu kondisi psikologis olahraga yang berlebihan pola makan yang tidak sehat berat badan yang berlebih obat yang dikomsumsi penyakit tertentu seperti endometriosis polip rahim penyakit radang panggul hipertiroidisme dsb pada dasarnya primolut adalah obat yang berisi kandungan sintetik hormon progesteron dimana hal ini digunakan untuk meredakan perdarahan di luar mentruasi nyeri yang parah saat menstruasi penggunaan pada wanita yang tidak menstruasi sama sekali atau pada penyakit endometriosis oleh karena itu penggunaan primolut harus dibawah pengawasan langsung oleh dokter penggunaannya tergantung dari tujuan yang ingin dicapai sehingga sebaiknya anda memeriksakan diri terlebih dulu untuk mencari penyebab dari tidak teraturnya menstruasi anda dan menentukan penanganan yang sesuai dari penyebabnya sementara sebaiknya perbaiki pola hidup anda dengan gaya hidup sehat yakni dengan mengonsumsi makanan yang bergizi dan sehat hindari begadang konsumsi air putih setidaknya l perhari hindari makanan fast food yang digoreng berlebih maupun yang terlalu banyak megandung pengawet banyak konsumsi sayur dan buah serta tidak mengonsumsi banyak makanan dan minuman yang manis anda juga perlu melakukan olahraga yang rutin setidaknya menit perharinya yang dilakukan kali per minggu demikian yang dapat kami sampaikan semoga informasi dari kami dapat bermanfaat untuk anda terima kasih,1,0,1,1,1,0
alo repe terima kasih atas pertanyaannya berdasarkan riwayat keluhan yang anda sampaikan berikut merupakan beberapa kemungkinan penyebab dari keluhan tersebut seperti otitis eksterna atau infeksi pada liang telinga otitis media atau infeksi pada liang telinga bagian dalam serumen prop atau penumpukan maupun sumbatan kotoran telinga kondisi kondisi di atas terjadi oleh karena beberapa faktor seperti sering mengorek ngorek telinga cedera pada telinga sering mendengarkan suara terlalu keras atau adanya riwayat infeksi saluran napas atas apabila anda sudah mendapatkan pengobatan dari dokter berupa tetes telinga pastikan gunakan obat tersebut sesuai dengan anjuran yang tertera di kemasan dan pada dasarnya obat tetes relatif akan terserap atau keluar dengan sendirinya secara perlahan namun apabila keluhan masih muncul sebaiknya lakukan kontrol ulang ke dokter spesialis tht agar dokter dapat mengevaluasi keluhan lebih lanjut dan memberikan pengobatan alternatif atau tambahan berikut anjuran yang dapat anda lakukan seperti meminum obat pereda nyeri seperti parasetamol menghindari melakukan manipulasi pada telinga seperti menyentuh atau mengorek ngorek telinga menghindari mengorek telinga dengan cotton bud cukup membersihkan bagian luar telinga dengan tisu menghindari mendengarkan musik dengan earphone menjaga agar telinga kering jangan memasukkan air ke dalamnya jangan berenang terlebih dahulu semoga informasi ini dapat membantu dan semoga lekas sembuh ya salam,1,0,1,1,1,0
hai try wastiqa benjolan pada vagina dapat disebabkan oleh berbagai macam penyebab beberapa diantaranya yang cukup sering adalah bisul benjolan pada bagian luar vagina berwarna kemerahan dengan rasa nyeri jerawat benjolan pada vagina luar vagina akibat penyumbatan disertai peradangan pori pori kulit abses benjolan disertai pembengkakan kemerahan dengan rasa nyeri hebat kista bartholin yaitu penyumbatan kelenjar bartholin sehingga terjadi benjolan kelenjar ini berfungsi untuk melumasi vagina saat berhubungan intim kutil kelamin yang ditularkan melalui hubungan seksual varises vagina yaitu pelebaran pembuluh darah pada vagina polip dan sebagainya sangat beragam penyebab benjolan pada vagina sehingga sangat sulit untuk menentukan penyebabnya tanpa melakukan pemeriksaan langsung penanganan yang dilakukan sangat tergantung dari penyebabnya karena lain penyebab memiliki penanganan yang berbeda diskusi terkait dapat anda ikuti pada topik berikut ini benjolan pada vagina semoga membantu ya terima kasih dr yan william,1,0,1,1,0,0
dear lana terimakasih atas pertanyaannya epilepsi adalah penyakit di mana penderita nya bisa mengalami kejang secara berulang penyebab pasti dari epilepsi belum diketahui secara pasti namun bisa juga diakibatkan oleh adanya kerusakan pada otak pengobatan dari epilepsi sendiri memiliki tujuan untuk mengurangi frekuensi menghentikan dan mencegah terjadinya kejang pengobatan anti kejang juga harus dikonsumsi secara rutin hingga didapatkan bebas kejang minimal tahun kemudian akan dilakukan penurunan dosis secara bertahap hingga penghentian obat namun hal ini tetap dalam pengawasan dokter spesialis saraf dikarenakan masih ada kemungkinan terjadinya bangkitan kejang baiknya anda saat ini melakukan kontrol ulang dengan dokter yang merawat anda sehingga dapat dilakukan evaluasi mengenai kondisi anda saat ini sehingga bisa diberikan pengobatan yang tepat dan sesuai dengan kondisi anda sekian informasi yang dapat kami sampaikan semoga informasi ini dapat bermanfaat untuk mengatasi keluhan anda dr taneya putri zahra,1,0,1,1,1,0
halo frando terimakasih atas pertanyaan anda kondisi terdapatnya buah zakar atau testis pada pria dalam bahasa medis disebut sebagai polyorchidism dimana hal ini merupakan suatu kelainan kongenital atau kelainan bawaan sejak lahir polyorchidism sendiri kejadiannya nya sangat jarang dan biasanya tidak akan menjadi suatu keluhan penanganan polyorchidism biasanya dengan prosedur operasi apabila keadaan ini sangat mengganggu pasien dalam segi estetika dan psikologis benjolan pada testis selain dari hal yang telah disebutkan diatas dapat pula disebabkan oleh karena hal yang lainnya diantaranya adalah hidrokel varikokel epididimitis tumor pada testis dll untuk mengetahui penyebab pasti dari kondisi ini maka kami sangat menyarankan kepada anda untuk segera menemui dokter agar dilakukan serangkaian pemeriksaan lebih lanjut seperti pemeriksaan fisik khususnya buah zakar usg skrotum dll sehingga penanganan yang tepat akhirnya dapat diberikan klik artikel di bawah ini yang sesuai dengan pertanyaan anda kelainan pada skrotum dan testis demikian penjelasan yang dapat kami sampaikan semoga bermanfaat salam dr jati,1,0,1,1,1,0
