processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
hai muria perti benjolan yang terdapat di area depan leher dapat disebabkan oleh beberapa hal diantaranya kelenjar getah bening yang membesar umumnya akibat infeksi gangguan pada kelenjar tiroid bisa diakibatkan oleh gondok kista tiroiditis dan proses keganasan limfoma tb kelenjar jika pada pemeriksaan sebelumnya sudah didiagnosa dengan kista tiroid maka akan diperlukan pemeriksaan lebih lanjut untuk mengetahui jenis benjolan di tiroid tersebut umumnya benjolan di tiroid dapat terdiri atas penyakit gondok peradangan pada kelenjar tiroid tumor jinak di tiroid dan kemudian proses keganasan riwayat benjolan mengeras membesar disertai demam dan nyeri dapat saja merujuk pada tiroiditis atau proses keganasan anda dapat berdiskusi lebih lanjut tentang hal ini dengan dokter yang memeriksa anda kami sangat menyarankan agar anda memeriksakan hal ini segera tanpa menunda nunda agar dapat dilakukan tindakan lebih awal dan tidak berpotensi bahaya bagi anda pemeriksaan yang mungkin dianjurkan dapat berupa usg tiroid biopsi scan nuclear dan pemeriksaan molekular diagnostik saran kami hindari memegang benjolan atau menekan nekannya sering sering lakukan pemeriksaan dan kontrol secara teratur ke dokter makan makanan cukup nutrisi setiap harinya demikian semoga dapat membantu anda,1,0,1,1,1,0
halo reni marlina tb paru merupakan suatu proses infeksi pada paru yang diakibatkan oleh infeksi bakteri di mana gejala dari infeksi ini adalah batuk lama lebih dari minggu berkeringat pada malam hari penurunan berat badan dapat disertai batuk darah dan lain lain untuk penegakan diagnosis dari tb paru dapar dilakukan wawancara mendalam mengenai keluhan pemeriksaan fisik dan pemeriksaan penunjang seperti pemeriksaan dahak dan juga pemeriksaan tambahan dengan foto rontgen berdasarkan hasil foto rontgen ibu anda hasilnya menunjukkan gambaran tb paru yang jelas untuk pengobatannya sendiri dilakukan secara berobat jalan dengan pemberian antibiotik baiknya segera konsultasikan hal ini dengan dokter yang merawat ibu anda sehingga bisa segera diberikan pengobatan demikian informasi yang bisa saya berikan semoga bermanfaat dr taneya putri zahra,1,0,1,1,1,0
ardi yang baik buah zakar atau testis merupakan organ reproduksi pria organ inilah yang memungkinkan seorang pria dapat memiliki keturunan oleh karenanya berbagai kondisi yang mungkin dapat menyebabkan kerusakan testis harus diperhatikan dengan baik karena pentingnya organ ini beberapa kondisi yang menyebabkan nyeri testis meliputi orkitis atau radang testis bisa sebagai komplikasi dari penyakit gondongan atau infeksi yang menjalar dari infeksi kelamin torsio testis yakni tali penggantung testis yang terplintir dan menyebabkan gangguan pasokan darah ke testis hidrokel atau penumpukan cairan pada kantung testis kanker testis hernia atau turunnya sebagian isi perut ke kantung testis oleh karena celah yang lemah nyeri pada testis baiknya jangan dianggap remeh untuk mengurangi nyeri dapat dilakukan kompres agak dingin dan mengonsumsi penahan nyeri yang dijual bebas seperti paracetamol atau ibuprofen tentunya dengan memperhatikan petunjuk pemakaian yang berlaku jangan menunda juga untuk memeriksakan testis anda pada dokter untuk menghindari terjadinya komplikasi merugikan seperti kemandulan berikut kami lampirkan artikel mengenai nyeri testis semoga bermanfaat dr n k arief,1,0,1,1,1,0
alo terimakasih atas pertanyaan anda di alodokter rasa pusing pandangan gelap berkunang kunang meruapkan salah satu tanda seseorang mengalami hipotensi atau tensi rendah hipotensi merupakan kondisi tekanan darah berada di bawah mmhg hipotensi merupakan keadaan yang tidak berbahaya dan dapat dialami oleh siapa saja tekanan darah dapat dipengaruhi oleh banyak faktor termasuk pertambahan usia dan keturunan selain itu dapat disebabkan oleh ketidakseimbangan hormone dehidrasi kurang nutrisi dan penyakit infeksi lainnya disebutkan bahwa anda mengigil dan gemetaran memungkinkan bahwa anda memiliki ketidak seimbangan elektrllit dan air elektrolit pada umumnya di dapat pada air putih saat tubuh kekurangan elektrolit dan cairan maka tubuh akan meningkat kan suhu tubuh dan akan berakibat efek mengigil untuk mengurangi gejala tersebut anda dapat melakukan beberapa tips diantaranya konsumsi air putih minimal liter perhari olahraga minimal menit perbanyak sayuran dan kacang kacangan minum multivitamin semoga bermanfaat sehat selalu,1,0,1,1,1,0
diiva yang baik jerawat muncul sebagai bentuk peradangan kulit terhadap infeksi bakteri bakteri yang bertanggung jawab atas munculnya jerawat ialah bakteri p acne yang memang menghuni wajah manusia dalam kadar normal pada kondisi wajah yang berminyak dan jarang dibersihkan maka bakteri terjebak dalam pori pori wajah yang kotor dan berminyak pada saat ini bakteri kemudian menginfeksi daerah tersebut dan menimbulkan peradangan bila terinfeksi oleh bakteri lain dapat timbul nanah namaun dapat juga tidak ketika jerawat menghilang umumnya meninggalkan bercak yang baru dapat hilang setelah waktu yang cukup lama untuk mengatasi jerawat yang muncul tentu beberapa kiat di bawah harus dijalankan seperti menjaga kebersihan wajah dengan mencuci wajah dengan air hangat dan sabun minimal kali sehari gunakan sabun yang tidak mengiritasi wajah dan umumnya berupa sabun batangan karena mengandung lebih sedikit deterjen ketimbang sabun cair menghindari konsumsi makanan yang kerap menimbulkan jerawat seperti coklat dan kacang kacangan manajemen psikis yang baik jerawat juga dapat timbul dalam keadaan stres karena mempengaruhi sistem hormonal seseorang jangan lupa untuk berkonsultasi dengan dokter kulit anda pengobatan yang diberikan berkisar dengan pemakaian krim malam untuk membantu pergantian kulit yang memiliki bercak dan pemakaian krim siang untuk mengobati infeksi yang terjadi berikut kami lampirkan artikel mengenai jerawat semoga bermanfaat dr n k arief,1,0,1,1,1,0
halo ahmad terima kasih atas pertanyaannya kondiloma akuminata atau kutil kelamin adalah salah satu infeksi menular seksual yang disebabkan oleh infeksi human papilloma virus hpv pada banyak kasus kutil ini tidak menimbulkan rasa tidak nyaman atau nyeri namun jika kutil ini bertambah besar kutil ini dapat menyebabkan iritasi rasa gatal dan terkadang berdarah beberapa cara pengananan kutil ini adalah obat oles obat oles biasanya digunakan untuk kutil yang berukuran kecil yang terletak pada kulit termasuk di sekitar area anus trichloroacetic acid tca merupakan salah satu obat oles yang biasanya digunakan oleh dokter operasi cryotherapy yaitu penanganan kutil dengan menggunakan nitrogen cair untuk membekukan kutil sehingga mudah diangkat electrocautery yaitu penanganan kutil dengan menggunakan ebergi listrik untuk membakar kutil laser silakan anda konsultasikan hal ini dengan dokter spesialis kulit dan kelamin mengenai penanganan yang terbaik untuk anda benjolan pada anus yang berdarah dan disertai dengan munculnya nanah dapat disebabkan oleh wasir yang terinfeksi abses perianal fistula ani yang biasanya disebabkan oleh abses kutil kelamin yang tumbuh pada anus silakan anda berkonsultasi dengan dokter terlebih dahulu karena untuk memastikan penyebabnya dokter perlu melakukan pemeriksan pada benjolan yang anda maksud setelah pemeriksaan ini dokter akan menentukan penanganan selanjutnya termasuk merujuk ke dokter spesialis bila perlu semoga informasi ini berguna dr aloisia,1,0,1,1,1,0
hallo rosy terima kasih telah bertanya di alodokter air ketuban atau amnion adalah media yang terdapat didalam kantung kehamilan yang berfungsi untuk melindungi dan menghidupi janin saat tumbuh dan berkembang selama masa kehamilan dan memiliki suhu yang hangat air ketuban merupakan cairan penting berisi hormon sel sistem kekebalan tubuh nutrisi serta urine bayi fungsi lain dari air ketuban adalah membantu menjaga suhu konstan atau tetap di dalam rahim melindungi bayi dari infeksi membantu otot dan tulang bayi berkembang dengan baik membantu sistem pernapasan dan pencernaan bayi normalnya air ketuban ini berwarna bening kekuningan namun terdapat beberapa faktor yang menyebabkan air ketuban berwarna keruh terjadinya proses infeksi chorioamnionitis yaitu infeksi yang terjadi pada plasenta ditandai dengan demam nyeri tekan di rahim peningkatan denyut nadi pada ibu dan denyut jantung janin djj serta terjadinya perubahan warna dan bau dari air ketuban air ketuban akan terlihat bercampur dengan nanah dan berbau tidak sedap air ketuban yang bercampur mekonium feses atau tinja bayi yang dapat menyebabkan warna air ketuban berubah kekuningan kehijauan atau kecokelatan kondisi ini bisa disebabkan oleh beberapa penyebab seperti kehamilan melebihi waktu kehamilan post term adanya tekanan pada kepala atau plasenta bayi saat proses persalinan dan kekurangan oksigen pada bayi hipoksia bayi beberapa masalah lainnya yang ditemukan pada air ketuban adalah air ketuban berwarna kuning menunjukkan adanya bilirubin pada cairan ketuban dan air ketuban berwarna merah menunjukkan adanya darah sang ibu atau janin di dalam air ketuban jadi kurangnya asupan air minum yang dikonsumsi ibu hamil tidaklah menyebabkan air ketuban menjadi keruh untuk artikel lain dan obrolan serupa yang dapat anda baca air ketuban keruh mengenal kondisi air ketuban air ketuban keruh dan induksi persalinan semoga informasi ini bermanfaat dr lia n amalina,1,0,1,1,0,0
alo ana terimakasih atas pertanyaannya terlambat menstruasi bisa terjadi karena sebab yang wajar misalnya hamil namun bisa juga terlambatnya menstruasi anda terjadi akibat sebab lain seperti stres gaya hidup tidak sehat pengaruh obat atau kontrasepsi kegemukan diet ekstrim kista ovarium hamil ektopik hamil anggur gangguan kelenjar tiroid gangguan kelenjar hipofisis dan sebagainya keluarnya keputihan berlebih mual panas dingin dan nyeri kepala yang anda alami paling sering terjadi karena infeksi virus infeksi bakteri radang panggul dispepsia stres gangguan hormon dan beberapa penyakit lainnya kondisi ini bisa berhubungan dengan terlambatnya menstruasi anda bisa juga tidak saran kami mengingat keluhan anda telah terjadi cukup lama anda sebaiknya tidak mendiamkannya tidak perlu takut pergilah periksakan langsung diri anda ke dokter agar dilakukan evaluasi lebih mendalam misalnya dengan tes darah tes urin usg dan sebagainya bila perlu nantinya anda bisa dokter rujuk ke dokter kandungan atau penyakit dalam guna mendapat tatalaksana lebih lanjut sementara ini yang bisa anda upayakan agar keluhan membaik ialah makan yang teratur porsi kecil tapi sering kurangi dulu makanan yang memicu mual seperti buah yang masam makanan pedas bergas dan berlemak serta minuman berkafein jangan dulu berkegiatan fisik yang melelahkan minum paracetamol supaya panas dingin dan nyeri kepala anda membaik teratur berolahraga dan beristirahat jaga kebersihan organ intim anda dengan baik tidak dulu minum sembarangan obat lain tanpa saran dokter semoga membantu ya,1,0,1,1,1,0
alo terimakasih atas pertanyaannya kondiloma akuminata kutil kelamin disebabkan oleh infeksi virus hpv human papillomavirus yang bisa menular lewat aktifitas seks yang berisiko penyakit ini seringnya ditandai dengan benjolan di kelamin atau area sekitarnya yang berwarna keabuan atau sama dengan kulit lainnya yang permukaannya kasar dan kerap bergerombol menyerupai kembang kol seringnya kutil kelamin saja tidak menyebabkan perih yang mengganggu namun jika terjadi iritasi atau infeksi sekunder oleh bakteri maka memang bisa saja muncul perih dan gejala peradangan lain yang lebih hebat jika benar keluhan anda disebabkan oleh kutil kelamin maka sepatutnya kondisi ini ditandai dengan pemberian beberapa jenis obat untuk menghentikan perkembangan virusnya dan meningkatkan daya tahan tubuh pada beberapa kasus bisa juga dilakukan terapi lain seperti pembedahan laser bedah beku dan sebagainya adapun salep yang anda sebutkan mengandung bahan aktif asam fusidat yang kegunaan utamanya ialah mengatasi infeksi bakteri karenanya perlu diperjelas dulu apakah dokter yang meresepkan langsung salep ini pada anda apakah memang dokter menyebutkan bahwa anda mengalami kutil kelamin kondisi anda yang mengalami lecet perih dan kemerahan di vagina usai menggunakan salep tersebut mungkin menandakan anda mengalami alergi terhadap salepnya namun bisa juga keluhan di vagina anda muncul terkait iritasi infeksi bakteri atau mikroorganisme lain di sekitar vagina tergaruk atau tergesek berlebihan bahkan juga beragam kondisi medis lain saran kami anda jangan lagi sembarangan menambahkan salep untuk mengatasi keluhan anda lebih tepat agar keluhan anda tertangani dengan baik anda periksalah langsung ke dokter atau dokter kulit dan kelamin ya sementara ini keluhan anda bisa diredakan dulu dengan banyak istirahat bersihkan vagina dan sekitarnya menggunakan air yang berkualitas baik tidak sembarangan menggunakan sabun pembersih pewangi atau ramuan lain selalu gunakan pakaian dalam dan celana yang bahannya lembut bersih tidak ketat jangan dulu berhubungan seks sebelum penyakit anda dinyatakan sembuh oleh dokter makan serta minum yang bergizi seimbang jangan terlalu stres dan jalani gaya hidup sehat agar imunitas terjaga jangan memegang kemaluan dengan tangan kotor kompres hangat vagina anda agar perihnya berkurang semoga membantu ya,1,1,1,1,1,0
hai yulie terimakasih telah bertanya ke alodokter bisakah anda perjelas berapa usia bayi anda saat ini perut kembung pada bayi biasa menandakan penumpukan gas di saluran pencernaan kondisi ini bisa disebabkan oleh banyak faktor contohnya pemberian asi atau susu melalui media yang tidak tepat misalnya dot menyusu sambil menangis tersedu sedu terburu buru tidak menyendawakan bayi seusai menyusu kandungan asi ibu yang terlalu banyak mengandung gas misalnya akibat ibu terlalu banyak mengkonsumsi sawi kol umbi umbian bawang brokoli soda kandungan makanan yang dikonsumsi bayi yang mengandung banyak gas apabila bayi anda sudah mengkonsumsi mpasi pemberian makanan atau minuman yang tidak tepat sehingga menyebabkan bayi mengalami alergi intoleransi malabsorpsi keracunan infeksi pencernaan radang usus dan sebagainya perut yang kembung tentu akan membuat bayi merasa lebih cepat kenyang hal ini ditambah dengan rasa tidak nyaman di perut akibat perut yang kembung bisa membuat bayi menjadi tidak mau menyusu jadi bukan berarti asi anda yang bermasalah saran kami anda periksakan langsung bayi anda ke dokter spesialis anak ya pada kebanyakan kasus perut kembung pada bayi bukanlah merupakan kondisi yang berbahaya namun bila bayi sampai tidak mau menyusu sama sekali dikarenakan kembungnya maka dikhawatirkan asupan nutrisi yang masuk ke tubuhnya menjadi tidak adekuat sehingga kesehatan dan pertumbuhannya bisa terganggu sementara ini yang sebaiknya anda lakukan adalah bila bayi anda masih berusia kurang dari bulan hanya beri ia asi eksklusif hindari pemberian susu tambahan sebelum bayi berusia tahun kecuali bila disarankan langsung oleh dokter hindari penggunaan dot untuk memberikan asi perah perbanyak menyusui bayi langsung dari payudara atau gunakan sendok bila berhalangan ajak bayi banyak bergerak agar buang angin dan bab nya lebih lancar hindari memberikan bayi obat sembarangan sementara ini anda batasi dulu konsumsi makanan yang banyak mengandung gas agar tidak mempengaruhi produksi asi anda bila anak anda sudah berusia lebih dari bulan perbanyak beri ia air putih dan batasi juga pemberian mpasi yang banyak mengandung gas semoga membantu ya dr nadia nurotul fuadah,1,1,1,1,1,0
